file_name,abc,all_ratings,arrr,emotional_expression,empathy,hope_and_pe,persuasiveness,verbal_fluency,wau,folder
AG0914_FIS_Time1_Jackson,3.0,3.333333333333333,2.833333333333333,3.1666666666666665,3.5,3.5,3.5,3.8333333333333335,3.333333333333333,Oct2020
AG0914_FIS_Time1_Jessica,3.333333333333333,3.333333333333333,3.0,2.833333333333333,3.5,3.333333333333333,3.333333333333333,4.0,3.333333333333333,Oct2020
AG0914_FIS_Time1_Luke,3.0,3.270833333333333,3.0,2.833333333333333,3.5,3.1666666666666665,3.1666666666666665,4.0,3.5,Oct2020
AJ0603_FIS_Time1_Bethany,3.5,3.6041666666666665,3.333333333333333,3.6666666666666665,3.6666666666666665,3.333333333333333,3.5,4.0,3.8333333333333335,Oct2020
AJ0603_FIS_Time1_Jackson,3.1666666666666665,3.2916666666666665,2.333333333333333,3.6666666666666665,3.6666666666666665,3.0,3.5,3.8333333333333335,3.1666666666666665,Oct2020
AJ0603_FIS_Time1_Jessica,3.1666666666666665,3.4166666666666665,3.0,3.8333333333333335,3.8333333333333335,3.333333333333333,3.333333333333333,3.0,3.8333333333333335,Oct2020
AJ0603_FIS_Time1_Luke,3.6666666666666665,3.7916666666666665,4.166666666666667,3.8333333333333335,3.8333333333333335,3.1666666666666665,3.8333333333333335,4.0,3.8333333333333335,Oct2020
AK0721_FIS_Time1_Bethany,4.166666666666667,3.7708333333333335,3.6666666666666665,3.8333333333333335,3.6666666666666665,3.333333333333333,3.6666666666666665,3.8333333333333335,4.0,Oct2020
AK0721_FIS_Time1_Jackson,3.8333333333333335,3.8125,4.0,3.6666666666666665,3.8333333333333335,3.333333333333333,4.0,4.166666666666667,3.6666666666666665,Oct2020
AK0721_FIS_Time1_Jessica,3.6666666666666665,3.6875,3.8333333333333335,3.333333333333333,4.0,3.1666666666666665,3.8333333333333335,4.0,3.6666666666666665,Oct2020
AK0721_FIS_Time1_Luke,3.8333333333333335,3.8541666666666665,3.6666666666666665,3.5,4.0,3.8333333333333335,4.0,4.166666666666667,3.8333333333333335,Oct2020
AS1031_FIS_Time1_Bethany,3.333333333333333,3.125,3.1666666666666665,3.333333333333333,2.6666666666666665,3.0,2.833333333333333,3.6666666666666665,3.0,Oct2020
AS1031_FIS_Time1_Jackson,3.0,3.125,2.333333333333333,3.333333333333333,3.1666666666666665,3.0,3.333333333333333,3.8333333333333335,3.0,Oct2020
AS1031_FIS_Time1_Jessica,3.0,2.8541666666666665,2.333333333333333,3.1666666666666665,2.833333333333333,2.833333333333333,3.0,2.833333333333333,2.833333333333333,Oct2020
AS1031_FIS_Time1_Luke,3.1666666666666665,3.145833333333333,3.333333333333333,3.6666666666666665,3.1666666666666665,2.6666666666666665,2.6666666666666665,3.0,3.5,Oct2020
