video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/CB0326_T3_Jackson,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 4457555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,,,,,,The clinician does not show empathy towards the patient. The clinician does not show an understanding of the patient's experience. The clinician does not show an understanding of the patient's emotions. The clinician does not show an understanding of the patient's thoughts. The clinician does not show an understanding of the patient's concerns. The clinician does not show an understanding of the patient's needs. The clinician does not show an understanding of the patient's desires. The clinician does not show an understanding of the patient's goals. The clinician does not show an understanding of the patient's values. The clinician does not show an understanding of the patient's beliefs. The clinician does not show an understanding of the patient's fears. The clinician does not show an understanding of the patient's worries. The clinician does not show an understanding of the patient's regrets. The clinician does not show an understanding of the patient's hopes. The clinician does not show an understanding of the patient's dreams. The clinician does not show an understanding of the patient's aspirations. The clinician does not show an understanding of the patient's ambitions. The clinician does not show an understanding of the patient's motivations. The clinician does not show an understanding of the patient's drives. The clinician does not show an understanding of the patient's passions. The clinician does not show an understanding of the patient's interests. The clinician does not show an understanding of the patient's hobbies. The clinician does not show an understanding of the patient's leisure activities. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's
data/FIS996/HV0516_T2_John,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 337545333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/RB1022_T3_Sean,"The participant is at great ease and communicates ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response may have a ""melodic,"" rhythmical quality and is easy to follow; the response is fluent.",,,,,,"The clinician shows a moderate level of warmth, concern and acceptance. The clinician is able to express a compassionate attempt to relate to the patient's experience. However, the clinician's response is not genuinely nonjudgmental and gently explores the patient's thoughts, feelings, alternatives for dealing with future situations, etc. The clinician appears concerned for and respectful of the patient. The clinician's opinion of the patient is clearly discernable from the response. The clinician does not convey a subtle lack of respect, acceptance, or concern of the patient. The clinician does not have an obvious lack of respect, acceptance, or warmth for the patient. Therefore, the clinician receives a score of 337545555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",
data/FIS996/AK0721_T3_Sean,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 33754555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555","The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a judgmental attitude, condescension, rudeness, disapproval, guilt-induction, exasperation, or annoyance. The clinician does not make a compassionate attempt to relate to the other’s experience. The clinician does not appear concerned for and respectful of the client. The clinician does not convey a subtle lack of respect, acceptance, or concern of the other (e.g., sarcasm, exasperation, annoyance). The clinician does not have an obvious lack of respect, acceptance, or warmth for the other (e.g., clearly pejorative comments, judgmental attitude, condescension, disapproval, guilt induction, blaming the other). So the clinician gets a score of 33754555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",
data/FIS996/WT0720_T2_Jackson,,,The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician is able to express emotion through his tone of voice and facial expressions. However, the clinician does not use a wide range of emotions or intonations to emphasize meanings that influence other processes. The clinician does not seem to be provocative or challenging in delivering an emotion-based response toward the client in the video clip. Therefore, the clinician receives a score of 2.00.",,,,The clinician does not show empathy towards the patient. The clinician does not show an understanding of the patient's experience. The clinician does not show an understanding of the patient's emotions. The clinician does not show an understanding of the patient's thoughts. The clinician does not show an understanding of the patient's concerns. The clinician does not show an understanding of the patient's needs. The clinician does not show an understanding of the patient's desires. The clinician does not show an understanding of the patient's goals. The clinician does not show an understanding of the patient's values. The clinician does not show an understanding of the patient's beliefs. The clinician does not show an understanding of the patient's fears. The clinician does not show an understanding of the patient's worries. The clinician does not show an understanding of the patient's regrets. The clinician does not show an understanding of the patient's hopes. The clinician does not show an understanding of the patient's dreams. The clinician does not show an understanding of the patient's aspirations. The clinician does not show an understanding of the patient's ambitions. The clinician does not show an understanding of the patient's motivations. The clinician does not show an understanding of the patient's drives. The clinician does not show an understanding of the patient's passions. The clinician does not show an understanding of the patient's interests. The clinician does not show an understanding of the patient's hobbies. The clinician does not show an understanding of the patient's leisure activities. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's pastimes. The clinician does not show an understanding of the patient's
data/FIS996/SC0723_T2_John,"The participant is at great ease and communicates ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response may have a ""melodic,"" rhythmical quality and is easy to follow; the response is fluent.",,,,,,,
data/FIS996/AKF0715_T3_Savannah,"The participant is at great ease and communicates ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response may have a ""melodic,"" rhythmical quality and is easy to follow; the response is fluent.",,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 337545333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,"The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a judgmental attitude, condescension, rudeness, disapproval, guilt-induction, exasperation, or annoyance. The clinician does not give advice. The clinician does not explore the patient's thoughts, feelings, alternatives for dealing with future situations, etc. The clinician does not appear concerned for and respectful of the patient. The clinician does not convey a subtle lack of respect, acceptance, or concern of the patient. The clinician does not have an obvious lack of respect, acceptance, or warmth for the patient. The clinician does not show a clearly pejorative comments, judgmental attitude, condescension, disapproval, guilt induction, blaming the patient. The clinician does not show a lack of respect, acceptance, or warmth for the patient. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clinician does not show a lack of warmth, concern and acceptance. The clin",
data/FIS996/MC1107_T1_Jackson,,,,,,,,The clinician does not show empathy towards the patient. The clinician does not show an understanding of the patient's experience. The clinician does not show an understanding of the patient's emotions. The clinician does not show an understanding of the patient's thoughts. The clinician does not show an understanding of the patient's concerns. The clinician does not show an understanding of the patient's beliefs. The clinician does not show an understanding of the patient's feelings. The clinician does not show an understanding of the patient's needs. The clinician does not show an understanding of the patient's desires. The clinician does not show an understanding of the patient's goals. The clinician does not show an understanding of the patient's fears. The clinician does not show an understanding of the patient's worries. The clinician does not show an understanding of the patient's anxieties. The clinician does not show an understanding of the patient's stressors. The clinician does not show an understanding of the patient's challenges. The clinician does not show an understanding of the patient's obstacles. The clinician does not show an understanding of the patient's difficulties. The clinician does not show an understanding of the patient's problems. The clinician does not show an understanding of the patient's issues. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of
data/FIS996/BY1218_T1_Bethany,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 337545.5625.",,The clinician does not show empathy towards the patient. The clinician does not show any understanding of the patient's experience. The clinician does not show any understanding of the patient's emotions. The clinician does not show any understanding of the patient's thoughts. The clinician does not show any understanding of the patient's concerns. The clinician does not show any understanding of the patient's challenges. The clinician does not show any understanding of the patient's difficulties. The clinician does not show any understanding of the patient's problems. The clinician does not show any understanding of the patient's issues. The clinician does not show any understanding of the patient's needs. The clinician does not show any understanding of the patient's desires. The clinician does not show any understanding of the patient's goals. The clinician does not show any understanding of the patient's aspirations. The clinician does not show any understanding of the patient's motivations. The clinician does not show any understanding of the patient's values. The clinician does not show any understanding of the patient's beliefs. The clinician does not show any understanding of the patient's attitudes. The clinician does not show any understanding of the patient's perceptions. The clinician does not show any understanding of the patient's expectations. The clinician does not show any understanding of the patient's fears. The clinician does not show any understanding of the patient's anxieties. The clinician does not show any understanding of the patient's worries. The clinician does not show any understanding of the patient's doubts. The clinician does not show any understanding of the patient's uncertainties. The clinician does not show any understanding of the patient's hesitations. The clinician does not show any understanding of the patient's reservations. The clinician does not show any understanding of the patient's reluctance. The clinician does not show any understanding of the patient's hesitation. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The clinician does not show any understanding of the patient's ambivalence. The
data/FIS996/AR0902_T3_Jackson,The clinician is able to communicate verbally fluently and without anxiety. The clinician is able to maintain a relaxed manner and is able to follow a conversation. The clinician is able to ask questions and provide feedback in a conversational tone. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician is able to provide a response that is easy to follow and is able to maintain a steady pace. The clinician,"The clinician's response is ordinary. There is no hopefulness expressed, nor is there any reason for being hopeful. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the score is 337533333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,,,,
