sample_id,audio/librosa_path,audio/librosa_bytes,audio/prosody_path,audio/prosody_bytes,audio/wav2vec_path,audio/wav2vec_bytes,text/words_path,text/words_bytes,video/openface3_path,video/openface3_bytes
EH0822_T1_Jessica,audio/librosa/EH0822_T1_Jessica.npz,2089716,audio/prosody/EH0822_T1_Jessica.npz,473,audio/wav2vec/EH0822_T1_Jessica.npz,262144,text/words/EH0822_T1_Jessica.npz,1145,video/openface3/EH0822_T1_Jessica.npz,3550232
KC0616_T1_Luke,audio/librosa/KC0616_T1_Luke.npz,992388,audio/prosody/KC0616_T1_Luke.npz,472,audio/wav2vec/KC0616_T1_Luke.npz,262144,text/words/KC0616_T1_Luke.npz,969,video/openface3/KC0616_T1_Luke.npz,1955489
MD0108_T2_Bethany,audio/librosa/MD0108_T2_Bethany.npz,358880,audio/prosody/MD0108_T2_Bethany.npz,472,audio/wav2vec/MD0108_T2_Bethany.npz,262144,text/words/MD0108_T2_Bethany.npz,438,video/openface3/MD0108_T2_Bethany.npz,598263
MS0315_T3_Savannah,audio/librosa/MS0315_T3_Savannah.npz,580019,audio/prosody/MS0315_T3_Savannah.npz,472,audio/wav2vec/MS0315_T3_Savannah.npz,262144,text/words/MS0315_T3_Savannah.npz,700,video/openface3/MS0315_T3_Savannah.npz,601960
NR0802_T1_Luke,audio/librosa/NR0802_T1_Luke.npz,669037,audio/prosody/NR0802_T1_Luke.npz,471,audio/wav2vec/NR0802_T1_Luke.npz,262144,text/words/NR0802_T1_Luke.npz,663,video/openface3/NR0802_T1_Luke.npz,1343105
SA1129_T3_Bethany,audio/librosa/SA1129_T3_Bethany.npz,778663,audio/prosody/SA1129_T3_Bethany.npz,472,audio/wav2vec/SA1129_T3_Bethany.npz,262144,text/words/SA1129_T3_Bethany.npz,585,video/openface3/SA1129_T3_Bethany.npz,989359
SN0216_T2_Savannah,audio/librosa/SN0216_T2_Savannah.npz,1099832,audio/prosody/SN0216_T2_Savannah.npz,471,audio/wav2vec/SN0216_T2_Savannah.npz,262144,text/words/SN0216_T2_Savannah.npz,1192,video/openface3/SN0216_T2_Savannah.npz,1736647
TK0423_T2_Jessica,audio/librosa/TK0423_T2_Jessica.npz,1156931,audio/prosody/TK0423_T2_Jessica.npz,472,audio/wav2vec/TK0423_T2_Jessica.npz,262144,text/words/TK0423_T2_Jessica.npz,688,video/openface3/TK0423_T2_Jessica.npz,1496154
XC0226_T1_Jessica,audio/librosa/XC0226_T1_Jessica.npz,305333,audio/prosody/XC0226_T1_Jessica.npz,471,audio/wav2vec/XC0226_T1_Jessica.npz,262144,text/words/XC0226_T1_Jessica.npz,405,video/openface3/XC0226_T1_Jessica.npz,365752
XC0226_T3_Lauren,audio/librosa/XC0226_T3_Lauren.npz,1510616,audio/prosody/XC0226_T3_Lauren.npz,472,audio/wav2vec/XC0226_T3_Lauren.npz,262144,text/words/XC0226_T3_Lauren.npz,1163,video/openface3/XC0226_T3_Lauren.npz,3250551
